feedback_id,customer_id,feedback_date,rating,comments
1,1,2025-01-27,2,Sharable
2,2,2024-07-05,2,stable
3,3,2025-01-29,2,"leading edge"
4,4,2024-08-05,2,Streamlined
5,5,2024-12-03,4,groupware
6,6,2024-06-04,3,well-modulated
7,7,2024-08-08,5,"24 hour"
8,8,2025-02-04,1,Multi-channelled
9,9,2024-07-28,4,secondary
10,10,2024-06-06,3,Customizable
11,11,2025-03-26,2,product
12,12,2024-09-25,2,throughput
13,13,2025-03-06,2,Down-sized
14,14,2025-04-25,5,Distributed
15,15,2024-06-30,3,"system engine"
16,16,2024-12-27,4,well-modulated
17,17,2024-07-14,4,Phased
18,18,2025-05-03,5,homogeneous
19,19,2024-08-07,3,hierarchy
20,20,2025-02-01,5,homogeneous
21,21,2024-09-10,1,foreground
22,22,2024-11-18,4,benchmark
23,23,2024-09-25,3,Balanced
24,24,2024-07-22,5,attitude-oriented
25,25,2024-05-27,2,emulation
26,26,2025-03-13,2,multi-tasking
27,27,2024-07-13,5,Upgradable
28,28,2024-11-18,1,directional
29,29,2024-10-31,2,Proactive
30,30,2025-02-24,5,Virtual
31,31,2024-10-05,2,Centralized
32,32,2024-07-11,4,migration
33,33,2025-04-02,1,challenge
34,34,2025-03-12,5,didactic
35,35,2025-02-27,1,emulation
36,36,2025-02-26,3,Managed
37,37,2025-04-20,5,dedicated
38,38,2025-02-24,2,mobile
39,39,2025-03-03,3,analyzer
40,40,2024-08-12,5,hardware
41,41,2024-12-03,4,"zero administration"
42,42,2024-08-17,1,Upgradable
43,43,2024-06-16,3,Object-based
44,44,2025-05-06,1,"24 hour"
45,45,2024-05-25,2,Switchable
46,46,2024-10-15,1,matrices
47,47,2024-10-26,1,application
48,48,2024-09-06,3,moratorium
49,49,2025-02-06,3,impactful
50,50,2024-12-28,3,explicit
51,51,2024-05-29,2,product
52,52,2025-04-21,2,"pricing structure"
53,53,2025-01-03,1,methodology
54,54,2024-11-26,1,definition
55,55,2025-01-07,2,Right-sized
56,56,2024-12-28,5,task-force
57,57,2024-12-17,2,tertiary
58,58,2024-06-09,1,Programmable
59,59,2024-11-04,5,bi-directional
60,60,2024-11-05,2,Customizable
61,61,2025-03-06,1,attitude-oriented
62,62,2024-08-11,5,client-driven
63,63,2024-10-12,5,challenge
64,64,2024-12-25,3,functionalities
65,65,2024-12-09,1,time-frame
66,66,2025-05-16,5,architecture
67,67,2024-12-05,3,conglomeration
68,68,2024-07-28,1,Expanded
69,69,2025-04-28,1,asynchronous
70,70,2024-12-01,3,Networked
71,71,2024-07-20,3,forecast
72,72,2024-12-03,5,Reduced
73,73,2024-06-02,3,grid-enabled
74,74,2025-04-10,4,Operative
75,75,2025-04-20,2,systemic
76,76,2024-08-13,4,interface
77,77,2024-06-05,2,modular
78,78,2024-07-12,3,encompassing
79,79,2024-06-30,1,synergy
80,80,2025-01-04,2,"knowledge base"
81,81,2024-11-13,2,middleware
82,82,2024-06-21,3,"knowledge base"
83,83,2024-12-06,1,utilisation
84,84,2025-04-08,2,portal
85,85,2024-05-29,5,Optional
86,86,2024-07-03,3,monitoring
87,87,2025-02-26,3,encompassing
88,88,2024-11-24,1,optimal
89,89,2025-05-07,4,real-time
90,90,2025-04-15,3,archive
91,91,2025-03-21,1,hub
92,92,2024-08-28,4,website
93,93,2024-05-31,1,Distributed
94,94,2025-05-07,2,"4th generation"
95,95,2025-05-17,5,info-mediaries
96,96,2025-02-22,5,interface
97,97,2024-11-12,1,info-mediaries
98,98,2025-05-22,3,synergy
99,99,2024-08-13,4,"5th generation"
100,100,2024-11-26,4,mission-critical
101,101,2025-02-08,4,Streamlined
102,102,2024-09-26,1,Multi-lateral
103,103,2025-01-24,4,optimal
104,104,2025-03-03,5,policy
105,105,2024-12-06,4,"knowledge base"
106,106,2025-01-31,4,object-oriented
107,107,2024-05-30,1,interface
108,108,2025-01-10,2,neutral
109,109,2025-04-16,4,"Graphic Interface"
110,110,2024-09-04,5,capability
111,111,2024-07-28,3,alliance
112,112,2024-12-04,1,real-time
113,113,2025-02-07,1,Business-focused
114,114,2024-06-09,1,bottom-line
115,115,2025-04-16,4,Mandatory
116,116,2024-05-23,2,contingency
117,117,2025-03-06,3,Ameliorated
118,118,2024-08-22,1,fault-tolerant
119,119,2024-07-22,1,toolset
120,120,2024-09-03,4,concept
121,121,2024-08-30,1,algorithm
122,122,2025-01-22,3,function
123,123,2024-10-31,2,Right-sized
124,124,2025-04-09,1,"open system"
125,125,2024-07-25,1,Persevering
126,126,2024-07-17,1,executive
127,127,2024-11-12,4,scalable
128,128,2024-12-27,3,access
129,129,2024-08-25,4,Multi-tiered
130,130,2024-11-02,3,database
131,131,2024-08-24,1,Object-based
132,132,2025-01-20,4,standardization
133,133,2024-12-01,5,Down-sized
134,134,2024-08-05,1,Assimilated
135,135,2024-08-13,2,Multi-layered
136,136,2025-03-08,1,Organized
137,137,2024-10-07,4,maximized
138,138,2024-08-31,4,contingency
139,139,2024-08-10,4,fault-tolerant
140,140,2024-10-22,5,"24 hour"
141,141,2024-07-07,2,multi-state
142,142,2024-10-14,3,task-force
143,143,2025-03-04,2,neural-net
144,144,2025-01-07,2,bifurcated
145,145,2024-09-28,2,Seamless
146,146,2024-07-29,2,moderator
147,147,2024-05-28,5,Total
148,148,2025-05-17,1,functionalities
149,149,2025-02-01,1,Realigned
150,150,2024-12-03,2,definition
151,151,2025-02-18,4,Optimized
152,152,2024-11-09,3,coherent
153,153,2025-01-15,5,actuating
154,154,2024-06-23,4,neutral
155,155,2024-07-12,1,Organic
156,156,2024-06-03,2,"3rd generation"
157,157,2025-05-03,5,needs-based
158,158,2025-01-19,5,composite
159,159,2025-03-25,5,methodical
160,160,2025-05-04,3,implementation
161,161,2024-09-01,4,"zero administration"
162,162,2024-10-30,1,Optional
163,163,2024-09-03,2,disintermediate
164,164,2025-03-05,3,asynchronous
165,165,2025-05-17,3,cohesive
166,166,2024-10-19,3,Universal
167,167,2025-01-30,4,methodology
168,168,2024-09-20,3,projection
169,169,2024-10-12,3,Quality-focused
170,170,2024-09-22,4,multimedia
171,171,2025-03-07,3,Implemented
172,172,2025-03-26,1,task-force
173,173,2025-03-20,2,support
174,174,2024-07-29,3,cohesive
175,175,2025-05-14,2,system-worthy
176,176,2025-03-24,5,Realigned
177,177,2024-08-02,1,product
178,178,2025-02-05,1,"4th generation"
179,179,2024-10-07,3,static
180,180,2025-03-09,5,software
181,181,2024-09-13,3,fault-tolerant
182,182,2024-05-24,3,full-range
183,183,2024-11-01,2,"local area network"
184,184,2025-01-28,4,"4th generation"
185,185,2025-03-31,5,encoding
186,186,2024-09-18,3,superstructure
187,187,2025-01-10,5,info-mediaries
188,188,2025-02-28,4,cohesive
189,189,2024-07-05,2,Devolved
190,190,2025-04-10,4,Switchable
191,191,2025-01-21,3,attitude-oriented
192,192,2025-03-18,3,encompassing
193,193,2024-07-07,1,capability
194,194,2025-03-14,1,Integrated
195,195,2025-02-08,3,leverage
196,196,2024-10-17,5,monitoring
197,197,2025-02-04,4,Phased
198,198,2025-01-05,3,Balanced
199,199,2024-06-01,1,Seamless
200,200,2024-08-31,1,throughput
201,201,2025-03-21,5,"open architecture"
202,202,2025-05-04,4,Cross-platform
203,203,2024-06-13,4,Cross-group
204,204,2024-08-29,3,orchestration
205,205,2024-08-14,1,Adaptive
206,206,2024-11-27,1,Down-sized
207,207,2025-05-09,1,national
208,208,2024-07-07,4,incremental
209,209,2024-06-15,4,Adaptive
210,210,2024-10-26,5,User-centric
211,211,2024-12-07,2,framework
212,212,2025-03-30,3,Intuitive
213,213,2024-08-02,2,initiative
214,214,2024-10-13,3,Inverse
215,215,2024-11-14,5,framework
216,216,2025-01-21,3,homogeneous
217,217,2025-05-13,3,Optimized
218,218,2024-09-14,2,synergy
219,219,2024-08-08,5,asymmetric
220,220,2025-01-16,1,neutral
221,221,2024-09-25,2,Public-key
222,222,2024-07-22,2,Phased
223,223,2024-06-06,3,Optimized
224,224,2024-12-12,3,paradigm
225,225,2024-08-02,4,core
226,226,2025-01-18,2,ability
227,227,2024-06-11,3,multi-tasking
228,228,2025-02-09,4,incremental
229,229,2025-01-01,5,asynchronous
230,230,2024-06-21,3,Front-line
231,231,2024-12-19,3,frame
232,232,2024-06-24,4,Function-based
233,233,2024-08-17,3,full-range
234,234,2025-01-10,5,"Graphical User Interface"
235,235,2024-07-25,1,demand-driven
236,236,2024-12-16,5,Polarised
237,237,2024-09-26,3,application
238,238,2025-05-17,4,bifurcated
239,239,2024-08-05,5,Inverse
240,240,2024-07-26,4,complexity
241,241,2024-10-17,5,Fully-configurable
242,242,2024-12-29,1,encoding
243,243,2025-02-09,5,neural-net
244,244,2024-09-08,2,Front-line
245,245,2025-03-31,2,"leading edge"
246,246,2025-02-12,5,Reactive
247,247,2024-08-11,2,Seamless
248,248,2025-04-04,1,Devolved
249,249,2024-07-02,1,architecture
250,250,2025-01-18,2,explicit
251,251,2025-04-28,2,"internet solution"
252,252,2024-07-10,3,Organized
253,253,2024-07-19,2,bi-directional
254,254,2024-08-06,3,toolset
255,255,2025-05-07,5,"Graphical User Interface"
256,256,2024-12-12,2,projection
257,257,2025-02-16,2,regional
258,258,2024-08-16,1,array
259,259,2025-02-21,4,help-desk
260,260,2025-02-05,4,Function-based
261,261,2025-05-20,5,Enterprise-wide
262,262,2024-09-01,1,Advanced
263,263,2024-10-18,1,"local area network"
264,264,2024-07-25,2,logistical
265,265,2025-01-16,5,software
266,266,2025-03-06,3,array
267,267,2024-10-15,4,Secured
268,268,2024-11-07,1,model
269,269,2024-10-18,4,help-desk
270,270,2025-04-01,2,Re-engineered
271,271,2024-09-13,1,utilisation
272,272,2024-07-30,2,cohesive
273,273,2024-09-06,1,Managed
274,274,2024-05-24,4,moderator
275,275,2024-12-06,1,"5th generation"
276,276,2025-05-08,3,demand-driven
277,277,2025-05-03,1,Persistent
278,278,2025-04-26,3,grid-enabled
279,279,2024-12-27,2,Horizontal
280,280,2024-12-23,4,systematic
281,281,2024-09-01,3,secondary
282,282,2024-08-09,2,web-enabled
283,283,2025-03-31,4,uniform
284,284,2024-12-22,2,approach
285,285,2024-09-13,1,"zero defect"
286,286,2024-11-11,3,non-volatile
287,287,2025-04-30,3,fresh-thinking
288,288,2024-10-12,5,client-driven
289,289,2025-04-28,1,Future-proofed
290,290,2024-06-30,5,Ergonomic
291,291,2024-06-13,2,dedicated
292,292,2024-07-11,4,Exclusive
293,293,2024-06-01,5,Fundamental
294,294,2024-09-08,2,Customizable
295,295,2024-09-10,5,capacity
296,296,2025-05-21,3,firmware
297,297,2025-03-24,1,"24 hour"
298,298,2025-04-30,2,Team-oriented
299,299,2024-10-18,4,Future-proofed
300,300,2024-09-09,3,system-worthy
301,301,2024-11-11,2,Streamlined
302,302,2025-05-15,5,moratorium
303,303,2024-11-27,2,emulation
304,304,2025-05-17,5,"zero tolerance"
305,305,2024-07-18,5,Right-sized
306,306,2024-08-10,1,asynchronous
307,307,2024-12-01,3,explicit
308,308,2025-03-29,4,system-worthy
309,309,2024-10-28,1,Persevering
310,310,2025-03-01,5,"zero administration"
311,311,2024-06-23,2,"open architecture"
312,312,2024-09-16,4,Optional
313,313,2024-08-22,4,contingency
314,314,2024-07-25,4,portal
315,315,2024-08-19,3,firmware
316,316,2025-04-23,4,encoding
317,317,2025-01-30,1,database
318,318,2025-01-04,4,Innovative
319,319,2024-08-05,3,Triple-buffered
320,320,2024-10-25,1,transitional
321,321,2024-06-11,3,superstructure
322,322,2025-05-17,2,Extended
323,323,2025-03-22,5,impactful
324,324,2024-10-14,2,Grass-roots
325,325,2025-05-01,1,methodology
326,326,2024-07-03,2,"next generation"
327,327,2025-02-18,2,systemic
328,328,2025-01-09,3,Progressive
329,329,2025-01-29,5,Advanced
330,330,2024-09-24,2,multi-tasking
331,331,2024-09-11,3,benchmark
332,332,2024-07-30,3,software
333,333,2024-08-20,5,capability
334,334,2025-04-01,2,policy
335,335,2024-06-19,5,Persistent
336,336,2025-03-18,4,Automated
337,337,2024-11-14,1,asymmetric
338,338,2024-12-07,4,"secured line"
339,339,2025-02-28,2,attitude
340,340,2025-05-12,4,Intuitive
341,341,2024-07-27,1,Secured
342,342,2025-03-27,2,Intuitive
343,343,2024-11-16,2,object-oriented
344,344,2025-03-04,3,benchmark
345,345,2025-05-17,3,"5th generation"
346,346,2025-05-22,1,leverage
347,347,2024-07-29,5,Configurable
348,348,2025-04-19,4,Profit-focused
349,349,2025-02-14,4,Seamless
350,350,2024-07-02,5,Reverse-engineered
351,351,2024-06-09,3,service-desk
352,352,2025-03-09,5,bottom-line
353,353,2024-07-23,1,Future-proofed
354,354,2025-04-08,5,web-enabled
355,355,2024-06-27,2,Business-focused
356,356,2024-12-23,1,database
357,357,2025-02-27,4,grid-enabled
358,358,2024-06-07,1,User-friendly
359,359,2025-03-20,5,optimal
360,360,2024-12-12,2,human-resource
361,361,2025-04-11,5,workforce
362,362,2025-02-25,2,interactive
363,363,2025-04-09,3,"6th generation"
364,364,2024-09-25,1,Fundamental
365,365,2024-08-22,3,national
366,366,2024-10-22,4,Diverse
367,367,2024-06-07,3,mission-critical
368,368,2024-07-05,4,Configurable
369,369,2024-08-27,3,portal
370,370,2025-05-04,3,Virtual
371,371,2025-02-27,2,Public-key
372,372,2024-07-28,5,software
373,373,2025-03-26,2,"budgetary management"
374,374,2024-08-08,5,"Face to face"
375,375,2024-11-04,5,service-desk
376,376,2025-02-03,1,Operative
377,377,2024-10-24,2,Synchronised
378,378,2024-08-13,2,throughput
379,379,2024-12-01,5,multi-tasking
380,380,2024-10-02,4,collaboration
381,381,2025-03-27,2,static
382,382,2024-10-12,1,Distributed
383,383,2024-09-27,4,"Face to face"
384,384,2024-08-25,3,Optional
385,385,2024-12-12,2,Open-architected
386,386,2025-05-05,4,moratorium
387,387,2024-10-02,2,needs-based
388,388,2024-06-04,1,Switchable
389,389,2025-04-04,1,interface
390,390,2024-10-12,1,Focused
391,391,2024-08-14,2,Automated
392,392,2025-05-07,4,Optional
393,393,2025-03-30,5,Total
394,394,2024-09-17,1,encompassing
395,395,2024-07-31,1,needs-based
396,396,2024-11-26,3,data-warehouse
397,397,2024-08-07,1,success
398,398,2025-05-19,3,even-keeled
399,399,2024-12-06,4,Diverse
400,400,2024-09-15,5,analyzer
401,401,2024-07-07,3,national
402,402,2025-01-21,4,bottom-line
403,403,2024-08-29,4,Grass-roots
404,404,2024-07-06,4,Decentralized
405,405,2024-05-27,2,contextually-based
406,406,2025-04-13,5,Monitored
407,407,2025-03-05,2,cohesive
408,408,2025-04-20,1,installation
409,409,2025-05-15,1,non-volatile
410,410,2025-03-26,2,Upgradable
411,411,2025-04-02,1,didactic
412,412,2024-11-04,2,Polarised
413,413,2025-01-30,4,User-centric
414,414,2024-12-13,2,Universal
415,415,2024-10-03,4,Total
416,416,2024-12-07,5,responsive
417,417,2024-08-06,5,bandwidth-monitored
418,418,2024-09-23,5,conglomeration
419,419,2024-12-16,4,orchestration
420,420,2024-08-02,4,policy
421,421,2024-07-06,2,mobile
422,422,2025-04-18,5,productivity
423,423,2025-05-16,4,incremental
424,424,2025-03-17,2,Optimized
425,425,2024-12-01,5,Organic
426,426,2025-02-20,3,"local area network"
427,427,2025-04-23,2,Extended
428,428,2024-07-16,3,flexibility
429,429,2024-07-27,2,even-keeled
430,430,2025-02-24,5,Organic
431,431,2024-08-03,3,hierarchy
432,432,2025-01-15,4,local
433,433,2024-12-22,5,functionalities
434,434,2024-11-22,2,clear-thinking
435,435,2024-12-04,5,Configurable
436,436,2024-12-30,4,24/7
437,437,2024-12-31,5,circuit
438,438,2024-12-27,5,"instruction set"
439,439,2024-10-30,5,secondary
440,440,2025-03-27,4,holistic
441,441,2025-03-29,2,product
442,442,2024-06-28,2,extranet
443,443,2024-07-08,5,"instruction set"
444,444,2024-08-14,2,success
445,445,2024-07-29,5,array
446,446,2025-05-18,5,Decentralized
447,447,2025-04-18,4,Centralized
448,448,2024-12-10,2,hardware
449,449,2024-06-16,2,hierarchy
450,450,2024-12-29,2,Up-sized
451,451,2024-09-05,3,Upgradable
452,452,2025-02-26,3,multimedia
453,453,2025-04-16,5,tertiary
454,454,2025-05-01,2,"leading edge"
455,455,2025-03-30,2,definition
456,456,2024-09-16,5,Triple-buffered
457,457,2025-03-14,4,Multi-tiered
458,458,2024-06-15,2,multi-tasking
459,459,2024-08-13,3,productivity
460,460,2024-09-23,5,Switchable
461,461,2024-06-10,1,Up-sized
462,462,2024-09-28,2,Total
463,463,2024-09-11,2,Operative
464,464,2025-05-04,2,systematic
465,465,2025-05-12,2,Multi-tiered
466,466,2024-11-24,3,algorithm
467,467,2025-04-26,4,Configurable
468,468,2024-08-25,4,Seamless
469,469,2024-05-30,4,infrastructure
470,470,2024-10-30,1,global
471,471,2025-02-15,5,Exclusive
472,472,2024-07-14,4,methodology
473,473,2024-07-09,1,flexibility
474,474,2024-08-11,1,secondary
475,475,2024-11-03,2,support
476,476,2024-06-12,4,matrices
477,477,2024-05-24,2,global
478,478,2025-03-26,4,explicit
479,479,2025-04-09,5,neural-net
480,480,2025-05-07,2,Up-sized
481,481,2025-04-26,5,content-based
482,482,2024-08-25,1,Diverse
483,483,2024-11-13,2,logistical
484,484,2025-04-12,4,non-volatile
485,485,2024-06-07,5,fault-tolerant
486,486,2025-04-14,3,"customer loyalty"
487,487,2025-01-27,2,user-facing
488,488,2025-02-14,1,neutral
489,489,2025-04-12,4,bi-directional
490,490,2025-03-15,4,software
491,491,2025-05-07,1,Synergistic
492,492,2025-04-27,2,Diverse
493,493,2024-06-11,1,actuating
494,494,2025-03-11,3,Multi-lateral
495,495,2024-08-14,5,Universal
496,496,2024-08-19,3,Enterprise-wide
497,497,2025-03-26,5,migration
498,498,2025-01-09,5,functionalities
499,499,2024-07-16,4,Object-based
500,500,2024-09-14,5,Organic
501,501,2024-12-09,2,Fully-configurable
